靡ㄩ絏	虏嘿	るら	Μ絃基(じ)
M2300  	筿摸计   	19980717	   255.6000
M2300  	筿摸计   	19980718	   257.8300
M2300  	筿摸计   	19980720	   258.4400
M2300  	筿摸计   	19980721	   253.8400
M2300  	筿摸计   	19980722	   253.1200
M2300  	筿摸计   	19980723	   252.7500
M2300  	筿摸计   	19980724	   259.6400
M2300  	筿摸计   	19980727	   261.2200
M2300  	筿摸计   	19980728	   259.2600
M2300  	筿摸计   	19980729	   258.9100
M2300  	筿摸计   	19980730	   259.2000
M2300  	筿摸计   	19980731	   256.6000
M2300  	筿摸计   	19980801	   255.5400
M2300  	筿摸计   	19980803	   254.1700
M2300  	筿摸计   	19980804	   257.9500
M2300  	筿摸计   	19980805	   257.6400
M2300  	筿摸计   	19980806	   253.4400
M2300  	筿摸计   	19980807	   254.5200
M2300  	筿摸计   	19980810	   247.8500
M2300  	筿摸计   	19980811	   247.9500
M2300  	筿摸计   	19980812	   247.2200
M2300  	筿摸计   	19980813	   247.2000
M2300  	筿摸计   	19980814	   245.6600
M2300  	筿摸计   	19980815	   244.5600
M2300  	筿摸计   	19980817	   236.9800
M2300  	筿摸计   	19980818	   232.0400
M2300  	筿摸计   	19980819	   237.9700
M2300  	筿摸计   	19980820	   236.3000
M2300  	筿摸计   	19980821	   233.1400
M2300  	筿摸计   	19980824	   220.9700
M2300  	筿摸计   	19980825	   221.7100
M2300  	筿摸计   	19980826	   216.6900
M2300  	筿摸计   	19980827	   220.6600
M2300  	筿摸计   	19980828	   217.0400
M2300  	筿摸计   	19980829	   217.9800
M2300  	筿摸计   	19980831	   212.6500
M2300  	筿摸计   	19980901	   203.8800
M2300  	筿摸计   	19980902	   210.1200
M2300  	筿摸计   	19980903	   198.2100
M2300  	筿摸计   	19980904	   200.2100
M2300  	筿摸计   	19980905	   208.3200
M2300  	筿摸计   	19980907	   209.4700
M2300  	筿摸计   	19980908	   217.2300
M2300  	筿摸计   	19980909	   217.6800
M2300  	筿摸计   	19980910	   213.6800
M2300  	筿摸计   	19980911	   210.2400
M2300  	筿摸计   	19980914	   209.5900
M2300  	筿摸计   	19980915	   208.7700
M2300  	筿摸计   	19980916	   213.0900
M2300  	筿摸计   	19980917	   215.5900
M2300  	筿摸计   	19980918	   213.2400
M2300  	筿摸计   	19980919	   216.9600
M2300  	筿摸计   	19980921	   214.7500
M2300  	筿摸计   	19980922	   217.6200
M2300  	筿摸计   	19980923	   218.4200
M2300  	筿摸计   	19980924	   218.6000
M2300  	筿摸计   	19980925	   218.7200
M2300  	筿摸计   	19980928	   218.0000
M2300  	筿摸计   	19980929	   216.1900
M2300  	筿摸计   	19980930	   212.6600
M2300  	筿摸计   	19981001	   205.0700
M2300  	筿摸计   	19981002	   194.5800
M2300  	筿摸计   	19981003	   198.6800
M2300  	筿摸计   	19981006	   193.7400
M2300  	筿摸计   	19981007	   196.9000
M2300  	筿摸计   	19981008	   205.8800
M2300  	筿摸计   	19981009	   201.3500
M2300  	筿摸计   	19981012	   200.3100
M2300  	筿摸计   	19981013	   201.4400
M2300  	筿摸计   	19981014	   201.1600
M2300  	筿摸计   	19981015	   201.2600
M2300  	筿摸计   	19981017	   206.8900
M2300  	筿摸计   	19981019	   205.8400
M2300  	筿摸计   	19981020	   201.1500
M2300  	筿摸计   	19981021	   203.4500
M2300  	筿摸计   	19981022	   201.6600
M2300  	筿摸计   	19981023	   204.6200
M2300  	筿摸计   	19981026	   203.8300
M2300  	筿摸计   	19981027	   203.9000
M2300  	筿摸计   	19981028	   204.5100
M2300  	筿摸计   	19981029	   207.3900
M2300  	筿摸计   	19981030	   213.4000
M2300  	筿摸计   	19981031	   220.0300
M2300  	筿摸计   	19981102	   225.8600
M2300  	筿摸计   	19981103	   222.6500
M2300  	筿摸计   	19981104	   216.4400
M2300  	筿摸计   	19981105	   222.9600
M2300  	筿摸计   	19981106	   218.5800
M2300  	筿摸计   	19981107	   223.9700
M2300  	筿摸计   	19981109	   223.4500
M2300  	筿摸计   	19981110	   218.4700
M2300  	筿摸计   	19981111	   214.1100
M2300  	筿摸计   	19981113	   218.9500
M2300  	筿摸计   	19981116	   224.2900
M2300  	筿摸计   	19981117	   233.6400
M2300  	筿摸计   	19981118	   233.5400
M2300  	筿摸计   	19981119	   245.0900
M2300  	筿摸计   	19981120	   250.1100
M2300  	筿摸计   	19981121	   248.3200
M2300  	筿摸计   	19981123	   243.4200
M2300  	筿摸计   	19981124	   252.3200
M2300  	筿摸计   	19981125	   248.8200
M2300  	筿摸计   	19981126	   252.7700
M2300  	筿摸计   	19981127	   247.8900
M2300  	筿摸计   	19981130	   243.6100
M2300  	筿摸计   	19981201	   240.9900
M2300  	筿摸计   	19981202	   240.8400
M2300  	筿摸计   	19981203	   242.2500
M2300  	筿摸计   	19981204	   245.1200
M2300  	筿摸计   	19981207	   250.4100
M2300  	筿摸计   	19981208	   246.8600
M2300  	筿摸计   	19981209	   243.6700
M2300  	筿摸计   	19981210	   242.3100
M2300  	筿摸计   	19981211	   237.7800
M2300  	筿摸计   	19981214	   233.7700
M2300  	筿摸计   	19981215	   233.8900
M2300  	筿摸计   	19981216	   227.0700
M2300  	筿摸计   	19981217	   223.5600
M2300  	筿摸计   	19981218	   225.9800
M2300  	筿摸计   	19981219	   223.0000
M2300  	筿摸计   	19981221	   223.2200
M2300  	筿摸计   	19981222	   236.0400
M2300  	筿摸计   	19981223	   233.4700
M2300  	筿摸计   	19981224	   232.9700
M2300  	筿摸计   	19981228	   227.0100
M2300  	筿摸计   	19981229	   228.5300
M2300  	筿摸计   	19981230	   230.4100
M2300  	筿摸计   	19981231	   228.5900
M2300  	筿摸计   	19990105	   219.7100
M2300  	筿摸计   	19990106	   222.5400
M2300  	筿摸计   	19990107	   231.0100
M2300  	筿摸计   	19990108	   232.9700
M2300  	筿摸计   	19990111	   238.6000
M2300  	筿摸计   	19990112	   239.5700
M2300  	筿摸计   	19990113	   239.0900
M2300  	筿摸计   	19990114	   235.1600
M2300  	筿摸计   	19990115	   241.6300
M2300  	筿摸计   	19990116	   241.4900
M2300  	筿摸计   	19990118	   237.9500
M2300  	筿摸计   	19990119	   235.3900
M2300  	筿摸计   	19990120	   235.0200
M2300  	筿摸计   	19990121	   235.5000
M2300  	筿摸计   	19990122	   230.5000
M2300  	筿摸计   	19990125	   221.4100
M2300  	筿摸计   	19990126	   226.4400
M2300  	筿摸计   	19990127	   228.0100
M2300  	筿摸计   	19990128	   224.5100
M2300  	筿摸计   	19990129	   221.0100
M2300  	筿摸计   	19990130	   221.6000
M2300  	筿摸计   	19990201	   214.2900
M2300  	筿摸计   	19990202	   208.1900
M2300  	筿摸计   	19990203	   213.2900
M2300  	筿摸计   	19990204	   206.4600
M2300  	筿摸计   	19990205	   209.1500
M2300  	筿摸计   	19990206	   216.5000
M2300  	筿摸计   	19990208	   218.4700
M2300  	筿摸计   	19990209	   214.7200
M2300  	筿摸计   	19990210	   213.8400
M2300  	筿摸计   	19990220	   222.8000
M2300  	筿摸计   	19990222	   227.3400
M2300  	筿摸计   	19990223	   218.0900
M2300  	筿摸计   	19990224	   221.7000
M2300  	筿摸计   	19990225	   222.5900
M2300  	筿摸计   	19990226	   226.0800
M2300  	筿摸计   	19990301	   226.1300
M2300  	筿摸计   	19990302	   221.8700
M2300  	筿摸计   	19990303	   225.6800
M2300  	筿摸计   	19990304	   223.3800
M2300  	筿摸计   	19990305	   222.7700
M2300  	筿摸计   	19990306	   224.4100
M2300  	筿摸计   	19990308	   227.7100
M2300  	筿摸计   	19990309	   231.8800
M2300  	筿摸计   	19990310	   232.9400
M2300  	筿摸计   	19990311	   232.9900
M2300  	筿摸计   	19990312	   234.7600
M2300  	筿摸计   	19990315	   243.8000
M2300  	筿摸计   	19990316	   247.3800
M2300  	筿摸计   	19990317	   251.9100
M2300  	筿摸计   	19990318	   259.5200
M2300  	筿摸计   	19990319	   261.2800
M2300  	筿摸计   	19990320	   262.6500
M2300  	筿摸计   	19990322	   265.3300
M2300  	筿摸计   	19990323	   259.7200
M2300  	筿摸计   	19990324	   259.4800
M2300  	筿摸计   	19990325	   259.8600
M2300  	筿摸计   	19990326	   261.5200
M2300  	筿摸计   	19990329	   253.2900
M2300  	筿摸计   	19990330	   253.7800
M2300  	筿摸计   	19990331	   251.5800
M2300  	筿摸计   	19990401	   254.6800
M2300  	筿摸计   	19990402	   258.2000
M2300  	筿摸计   	19990403	   256.0200
M2300  	筿摸计   	19990406	   256.2700
M2300  	筿摸计   	19990407	   256.4100
M2300  	筿摸计   	19990408	   265.1400
M2300  	筿摸计   	19990409	   265.7600
M2300  	筿摸计   	19990412	   270.5500
M2300  	筿摸计   	19990413	   275.6400
M2300  	筿摸计   	19990414	   275.0000
M2300  	筿摸计   	19990415	   274.8900
M2300  	筿摸计   	19990416	   267.5800
M2300  	筿摸计   	19990417	   270.7900
M2300  	筿摸计   	19990419	   273.0500
M2300  	筿摸计   	19990420	   269.1100
M2300  	筿摸计   	19990421	   265.7600
M2300  	筿摸计   	19990422	   267.4700
M2300  	筿摸计   	19990423	   270.8000
M2300  	筿摸计   	19990426	   275.4500
M2300  	筿摸计   	19990427	   272.9000
M2300  	筿摸计   	19990428	   270.4500
M2300  	筿摸计   	19990429	   258.6900
M2300  	筿摸计   	19990430	   260.4000
M2300  	筿摸计   	19990503	   257.3400
M2300  	筿摸计   	19990504	   262.4900
M2300  	筿摸计   	19990505	   263.5200
M2300  	筿摸计   	19990506	   266.1200
M2300  	筿摸计   	19990507	   262.4400
M2300  	筿摸计   	19990510	   261.4800
M2300  	筿摸计   	19990511	   261.8000
M2300  	筿摸计   	19990512	   262.8700
M2300  	筿摸计   	19990513	   262.5400
M2300  	筿摸计   	19990514	   269.0900
M2300  	筿摸计   	19990515	   270.3000
M2300  	筿摸计   	19990517	   272.2800
M2300  	筿摸计   	19990518	   276.6400
M2300  	筿摸计   	19990519	   279.9600
M2300  	筿摸计   	19990520	   278.3300
M2300  	筿摸计   	19990521	   280.9000
M2300  	筿摸计   	19990524	   286.3100
M2300  	筿摸计   	19990525	   285.3600
M2300  	筿摸计   	19990526	   284.7900
M2300  	筿摸计   	19990527	   287.8200
M2300  	筿摸计   	19990528	   286.9400
M2300  	筿摸计   	19990529	   290.8200
M2300  	筿摸计   	19990531	   289.1000
M2300  	筿摸计   	19990601	   288.4000
M2300  	筿摸计   	19990602	   295.9900
M2300  	筿摸计   	19990603	   297.0100
M2300  	筿摸计   	19990604	   301.8900
M2300  	筿摸计   	19990605	   307.9200
M2300  	筿摸计   	19990607	   314.0900
M2300  	筿摸计   	19990608	   324.4600
M2300  	筿摸计   	19990609	   332.1900
